Cultivar_Replicate,Reps,Local Gov ,Market,Wk2PH,Wk2NL,Wk2NB,Wk2LL,Wk2LB,Wk2SD,Wk3PH,Wk3NL,Wk3NB,Wk3LL,Wk3LB,Wk3SD,Wk4PH,Wk4NL,Wk4NB,Wk4LL,Wk4LB,Wk4SD,Wk5PH,Wk5NL,Wk5NB,Wk5LL,Wk5LB,Wk5SD,Wk6PH,Wk6NL,Wk6NB,Wk6LL,Wk6LB,Wk6SD,Days_To_First_Flowering,Days_To_50%_Flowering,Flowring Category early(38-40) intermediate(41-45) late(46-51),Number of Pods,Pod Height(cm),Pod weight/pod,Average pod weight,Number of seeds,Seed weight,Average seed weight,Seed color
19a,19,Nasarawa Local Kano,Yankaba Market,98.6,32,2,14.2,7.6,,100,53,4,14.3,8,,110.2,71,4,14.3,8,0.71,102,96,2,12.2,6.4,0.6,104,109,2,11,5.3,0.65,30,38,Early,6,"5.8,8.9,6.5,5.5,4.3,5.0","0.45,1.006,0.718,0.087,0.305,0.3",0.48,"4,8,5,2,4,2","4(0.094, 0.130, 0.093, 0.115) 8(0.132, 0.097, 0.110, 0.105, 0.099, 0.120, 0.102, 0.108) 5(0.101, 0.095, 0.107, 0.099, 0.104) 2(0.125, 0.118)  4(0.140, 0.132, 0.128, 0.135) 2(0.090, 0.096)","0.11,0.11,0.12,0.133,0.093",Brown
19b,,Nasarawa Local Kano,Yankaba Market,21.3,14,,5.4,2.5,,22,20,,10.7,4.8,,30,26,,10.7,7,0.55,,,,,,,,,,,,,30,38,Early,3,"7.6,9.5,2.5","0.625,0.906,0.402",0.64,"8,8,3","8(0.081,0.079,0.082,0.080,0.083,0.078,0.084,0.077) 8(0.148,0.146,0.149,0.147,0.150,0.145,0.151,0.144) 3(0.149,0.147,0.150)","0.08,0.15,0.15",Brown
20a,20,Nasarawa Local Kano,Sabuwar Kaguwa,22.2,26,,8.6,5,,27,32,1,9.7,6.4,,29.3,40,2,10,6.4,0.5,32,35,2,9.1,5.5,0.55,36,58,3,7.4,6.1,0.58,36,38,Early,,,,,,,,
20b,,Nasarawa Local Kano,Sabuwar Kaguwa,28.1,20,,8.3,4.2,,28.6,29,1,8.3,3.6,,29.1,29,1,10.7,7.1,0.4,27,10,1,8.2,7,0.5,29,25,1,6.1,6.5,0.53,36,38,Early,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Second reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cultivar_Replicate,Reps,Local Gov ,,Wk2Ph,Wk2NL,Wk2NB,Wk2LL,Wk2LB,Wk2SD,Wk3PH,Wk3NL,Wk3NB,Wk3LL,Wk3LB,Wk3SD,Wk4PH,Wk4NL,Wk4NB,Wk4LL,Wk4LB,Wk4SD,Wk5PH,Wk5NL,Wk5NB,Wk5LL,Wk5LB,Wk5SD,Wk6PH,Wk6NL,Wk6NB,Wk6LL,Wk6LB,Wk6SD,,,,,,,,,,,
1a,1,Kura Local Gov Kano,Kura Market,120,49,3,7,4.7,,160,66,3,9.5,6.5,3.7,234,93,3,10.4,6.5,3.6,234,80,3,9.4,6.1,3.6,234,68,3,8.5,5.95,3.6,,,,,,,,,,,
1b,,Kura Local Gov Kano,Kura Market,79.5,40,4,7.5,4.9,,155,71,4,7.8,6.5,3.6,254,90,4,7.5,5.7,3.8,254,63,4,7,4.9,3.8,254,54,4,6.6,5.1,3.8,,,,,,,,,,,
2a,2,Kura Local Gov Kano,Dan hassan market,36,24,0,9.5,6,,72,50,2,9.5,6.8,3.6,133,68,2,9.3,6.1,3.5,133,49,2,9.7,6.7,3.5,133,42,2,10,7,3.5,,,,,,,,,,,
2b,,Kura Local Gov Kano,Dan hassan market,30,38,3,9.6,7,,120,49,4,9.5,6.6,4,140,63,4,8,6.2,3.8,140,76,4,8.5,6,3.95,140,84,4,8.8,6.2,3.95,,,,,,,,,,,
3a,3,Kumbotso Local Gov Kano,Kumbotso Market,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
3b,,Kumbotso Local Gov Kano,Kumbotso Market,21.5,13,0,10,5.6,,85,39,1,9.5,5.5,3.6,141,26,2,11.7,5.1,3.55,195,43,3,11.5,5.5,3.6,214.5,43,3,11.9,5.3,3.6,,,,,,,,,,,
4a,4,Kumbotso Local Gov Kano,Garu Market,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
4b,,Kumbotso Local Gov Kano,Garu Market,17.5,14,0,8,4.6,,33,34,2,9.6,6.6,3.7,65.3,56,2,10.2,8.4,3.65,135,99,4,9,7,3.8,153.9,109,4,8.2,7.1,3.8,,,,,,,,,,,
5a,5,Bichi Local Gov Kano,Danzabura Market,120,40,2,9.2,5.3,,220,62,3,9.8,5.7,3.8,235,72,3,10.7,5.2,3.7,209,96,2,8,5.6,3.8,188,106,2,7.2,6,3.8,,,,,,,,,,,
5b,,Bichi Local Gov Kano,Danzabura Market,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
6a,6,Bichi Local Gov Kano,Bichi Market,92,26,2,6.8,5.5,,162,84,3,10.4,6.4,3.9,260,109,4,7.7,7.3,3.7,260,21,2,10,7.6,3.8,260,18,2,6.8,7.9,3.8,,,,,,,,,,,
6b,,Bichi Local Gov Kano,Bichi Market,70,35,3,10.2,5.6,,104,73,4,9.3,6,3.7,143,94,4,8.3,5.8,3.7,143,81,4,8,5.7,3.7,143,73,4,7.2,5.85,3.7,,,,,,,,,,,
7a,7,Samalia Local Gov,Sumailia Market,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,0,0,,,,,,,,,,,
7b,,Samalia Local Gov,Sumailia Market,43,23,0,8.5,6.5,,160,51,0,11.3,7,3.6,260,65,0,10.3,6.2,3.55,260,10,0,7.5,3.7,3.65,260,8,0,0,5.6,3.65,,,,,,,,,,,
8a,8,Samalia Local Gov,Gani Market,50,23,0,12,7.5,,160,152,3,12.9,7.1,3.65,234,170,3,10.6,7.3,3.7,276,153,3,8,4.3,3.7,303.6,138,3,8.8,6,3.7,,,,,,,,,,,
8b,,Samalia Local Gov,Gani Market,46,32,2,8,6.2,,150,143,2,8.6,5.6,3.7,240,160,2,8.2,6.7,3.7,240,161,2,6.5,5.2,3.8,240,177,2,0,5.5,3.8,,,,,,,,,,,
9a,9,Rano Local Gov,Rano Market,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,,,,,,,,,,
