delta,alpha_min,alpha_max,fold
0.001,0.02224296363293389,0.03621661901713068,1.6282281270966423
0.0011242100350620863,0.022306079987833134,0.036279339662257756,1.6264327789574118
0.0012638482029342984,0.02237717722176259,0.036349936799952444,1.6244201151788196
0.0014208308325339223,0.022457283881134018,0.03642941144689743,1.6221646232784703
0.001597312280060254,0.0225475660865502,0.03651889493773259,1.619638004277384
0.001795714494371641,0.02264934720692846,0.036619666689073356,1.616808924094349
0.002018760254679039,0.02276413065695656,0.03673317458553275,1.613642758385212
0.0022695105366946685,0.022893626383527467,0.03686105842270072,1.6101013358557805
0.0025514065200312875,0.02303978172297952,0.037005176924669515,1.6061426870099698
0.002868316813342012,0.02320481745312344,0.03716763895402089,1.601720807720382
0.0032245905452963947,0.02339127003809621,0.03735083965427152,1.5967854500178935
0.003625117049988535,0.023602041277228553,0.03755750241365204,1.5912819561877403
0.004075392965871778,0.023840456829947742,0.037790727720966505,1.5851511567301348
0.004581597669054491,0.024110335407418883,0.03805405020675196,1.5783293580827797
0.005150678076168122,0.024416070809891794,0.03835150543533431,1.5707484522774562
0.005790443980602489,0.0247627294597095,0.03868770834692644,1.5623361879341187
0.00650967523045817,0.02515616664764037,0.03906794565719421,1.5530166501285583
0.007318242219076174,0.02560316538826098,0.03949828502078038,1.5427110055263047
0.008227241341700473,0.026111602579550502,0.0399857043737961,1.5313385783954603
0.009249147277217335,0.02669064808701519,0.040538245609356184,1.5188183320688173
0.0103979841848149,0.027351003414514085,0.041165197632624995,1.5050708381243618
0.011689518164985783,0.028105187749254378,0.04187731491037234,1.490020820497217
0.013141473626117567,0.02896788030289211,0.04268707889430427,1.4736003617787132
0.014773776525985112,0.029956328873952873,0.043609011168026166,1.4557528511427296
0.016608827826277157,0.03109083518680574,0.044660048836184345,1.436437733751748
0.018671810912919206,0.0323953274279493,0.04585999449813839,1.4156360851772825
0.020991037201085545,0.03389802890409367,0.04723205502477926,1.3933569753690107
0.02359833466782195,0.03563222802960742,0.048803485085937855,1.3696444983846143
0.026529484644318972,0.03763714776740742,0.05060635260604077,1.3445852198679167
0.02982471286216891,0.039958900828195115,0.05267844348146774,1.3183156290499782
0.03352924149249558,0.042651499046816546,0.055064321083353865,1.2910289746888461
0.03769390975388361,0.04577786073179991,0.05781655099341727,1.2629806214001302
0.04237587160604064,0.04941072960327117,0.06099709130664809,1.2344908038477915
0.04763938010401343,0.053633388091795686,0.06467883149905024,1.205943420698126
0.05355666917706899,0.05854002719001769,0.06894723603340391,1.1777793647004127
0.06020894493336132,0.06423564332135571,0.07390201106240438,1.1504829288108802
0.06768750009458535,0.07083539452352458,0.07965866475566935,1.1245601904456752
0.0760949668545988,0.07846348592202514,0.08634978016710866,1.1005090986260884
0.08554672535565684,0.08725186945152713,0.09412577940401903,1.0787823802023029
0.09617248711152965,0.09733929102586436,0.10315495661855495,1.0597463319426201
0.10811807510766078,0.10887139589956933,0.11362263393040067,1.0436408295454778
0.12154742500762872,0.12200256991136024,0.1257294884954677,1.0305478694982837
0.13664483492953258,0.1368998550755179,0.13968942474841511,1.0203767175016978
0.1536174946671828,0.15374868771629296,0.15572777243792021,1.0128722056169948
0.1726983290659436,0.17275961395199368,0.17408093088089688,1.0076482975313337
0.19414919457438817,0.1941748730082137,0.19499862866921852,1.0042423391257733
0.21826447283974873,0.21827399232376626,0.21874953518998302,1.0021786510667354
0.24537511066398193,0.2453781856514436,0.24563006355265143,1.0010264885631097
0.2758531617629184,0.27585401252873326,0.2759751808747629,1.0004392480824147
0.3101168926574778,0.31011709042326413,0.31016943403456326,1.0001687866064644
0.34863652276780877,0.34863656056597225,0.3486566087094618,1.0000575044208129
0.3919406774847221,0.3919406832817764,0.3919473938286006,1.000017121332667
0.44062364277735727,0.44062364347156374,0.44062557464796237,1.000004382825178
0.4953535208959175,0.4953535209588634,0.49535399002812036,1.0000009469383724
0.5568813990945273,0.556881399098702,0.5568814932722667,1.000000169108835
0.6260516572014821,0.626051657201677,0.6260516724654814,1.0000000243810623
0.7038135554931562,0.7038135554931623,0.7038135574381221,1.000000002763459
0.7912342618981326,0.7912342618981327,0.7912342620872372,1.0000000002389995
0.8895134973108236,0.8895134973108236,0.8895134973243897,1.0000000000152511
1,1,1.0000000000006914,1.0000000000006914
