trait,trait_label,mean_r1,mean_r2,ratio_r2_r1,p_value
PH,Plant height (cm),81.71666666666667,245.91875,3.0094075056088108,8.249163209232264e-12
NL,Number of leaves,60.43333333333333,105.5,1.7457253171538887,1.778552604492085e-4
NB,Number of branches,2.0714285714285716,2.1,1.013793103448276,0.9255055779329401
LL,Leaf length (cm),8.210344827586207,9.884375,1.2038927971440572,0.0015353590710666695
LB,Leaf breadth (cm),5.617241379310345,6.55625,1.1671654389195827,2.8356585588652013e-4
SD,Stem diameter,0.5445161290322581,3.7328125,6.8552836196682465,7.892414962943179e-73
