trait,trait_label,model,accession,mean,duncan_group
NB,Number of branches,naive,Bichi6,2.5,abc
NB,Number of branches,naive,Wudil15,2.5,abc
NB,Number of branches,naive,Gani8,2.3333333333333335,abc
NB,Number of branches,naive,Garu4,2.25,abc
NB,Number of branches,naive,Lahadin17,2.25,abc
NB,Number of branches,naive,Dawakin11,2,bc
NB,Number of branches,naive,Rano9,2,bc
NB,Number of branches,naive,Kumbotso3,1.75,bc
NB,Number of branches,naive,Sabuwar20,1.75,bc
NB,Number of branches,naive,Kwanar14,1.6666666666666665,bc
NB,Number of branches,naive,Ruwan10,1.5,bc
NB,Number of branches,naive,Danzabura5,1,bc
NB,Number of branches,naive,Dawaki18,1,bc
NB,Number of branches,naive,Round13,1,bc
NB,Number of branches,naive,Sumailia7,0.5,c
NL,Number of leaves,adjusted,Yankaba19,145.33333333333334,a
NL,Number of leaves,adjusted,Dawanao12,139.66666666666666,ab
NL,Number of leaves,adjusted,Gani8,136.33333333333334,abc
NL,Number of leaves,adjusted,Darki16,115.33333333333333,abcd
NL,Number of leaves,adjusted,Dawakin11,95.66666666666667,abcd
NL,Number of leaves,adjusted,Lahadin17,93.5,abcd
NL,Number of leaves,adjusted,Round13,93,abcd
NL,Number of leaves,adjusted,Sabuwar20,93,abcd
NL,Number of leaves,adjusted,Wudil15,81.5,abcd
NL,Number of leaves,adjusted,Dawaki18,80,abcd
NL,Number of leaves,adjusted,Garu4,78.66666666666667,abcd
NL,Number of leaves,adjusted,Danzabura5,78.5,abcd
NL,Number of leaves,adjusted,Rano9,73.5,abcd
NL,Number of leaves,adjusted,Kwanar14,71.5,abcd
NL,Number of leaves,adjusted,Danhassan2,61.5,abcd
NL,Number of leaves,adjusted,Ruwan10,61,abcd
NL,Number of leaves,adjusted,Kura1,55.5,bcd
NL,Number of leaves,adjusted,Kumbotso3,54.333333333333336,cd
NL,Number of leaves,adjusted,Bichi6,40.75,d
NL,Number of leaves,adjusted,Sumailia7,38.333333333333336,d
NL,Number of leaves,naive,Yankaba19,145.33333333333334,a
NL,Number of leaves,naive,Dawanao12,139.66666666666666,a
NL,Number of leaves,naive,Gani8,136.33333333333334,a
NL,Number of leaves,naive,Darki16,115.33333333333333,ab
NL,Number of leaves,naive,Dawakin11,95.66666666666667,ab
NL,Number of leaves,naive,Lahadin17,93.5,ab
NL,Number of leaves,naive,Round13,93,ab
NL,Number of leaves,naive,Sabuwar20,93,ab
NL,Number of leaves,naive,Wudil15,81.5,ab
NL,Number of leaves,naive,Dawaki18,80,ab
NL,Number of leaves,naive,Garu4,78.66666666666667,ab
NL,Number of leaves,naive,Danzabura5,78.5,ab
NL,Number of leaves,naive,Rano9,73.5,ab
NL,Number of leaves,naive,Kwanar14,71.5,ab
NL,Number of leaves,naive,Danhassan2,61.5,ab
NL,Number of leaves,naive,Ruwan10,61,ab
NL,Number of leaves,naive,Kura1,55.5,ab
NL,Number of leaves,naive,Kumbotso3,54.333333333333336,ab
NL,Number of leaves,naive,Bichi6,40.75,b
NL,Number of leaves,naive,Sumailia7,38.333333333333336,b
PH,Plant height (cm),adjusted,Yankaba19,263.6666666666667,a
PH,Plant height (cm),adjusted,Dawanao12,251.70000000000002,ab
PH,Plant height (cm),adjusted,Dawaki18,251,ab
PH,Plant height (cm),adjusted,Dawakin11,232.96666666666667,ab
PH,Plant height (cm),adjusted,Round13,216.5,ab
PH,Plant height (cm),adjusted,Darki16,214,ab
PH,Plant height (cm),adjusted,Gani8,194.53333333333333,ab
PH,Plant height (cm),adjusted,Danzabura5,193.5,ab
PH,Plant height (cm),adjusted,Kura1,169.25,ab
PH,Plant height (cm),adjusted,Lahadin17,157.25,ab
PH,Plant height (cm),adjusted,Kumbotso3,136.83333333333334,ab
PH,Plant height (cm),adjusted,Garu4,133.96666666666667,ab
PH,Plant height (cm),adjusted,Sabuwar20,129.2,ab
PH,Plant height (cm),adjusted,Wudil15,125.5,ab
PH,Plant height (cm),adjusted,Bichi6,117.125,ab
PH,Plant height (cm),adjusted,Ruwan10,113.7,b
PH,Plant height (cm),adjusted,Rano9,113.35,b
PH,Plant height (cm),adjusted,Sumailia7,112.66666666666666,b
PH,Plant height (cm),adjusted,Kwanar14,111.25,b
PH,Plant height (cm),adjusted,Danhassan2,101.5,b
PH,Plant height (cm),naive,Yankaba19,263.6666666666667,a
PH,Plant height (cm),naive,Dawanao12,251.70000000000002,a
PH,Plant height (cm),naive,Dawaki18,251,a
PH,Plant height (cm),naive,Dawakin11,232.96666666666667,a
PH,Plant height (cm),naive,Round13,216.5,a
PH,Plant height (cm),naive,Darki16,214,a
PH,Plant height (cm),naive,Gani8,194.53333333333333,a
PH,Plant height (cm),naive,Danzabura5,193.5,a
PH,Plant height (cm),naive,Kura1,169.25,a
PH,Plant height (cm),naive,Lahadin17,157.25,a
PH,Plant height (cm),naive,Kumbotso3,136.83333333333334,a
PH,Plant height (cm),naive,Garu4,133.96666666666667,a
PH,Plant height (cm),naive,Sabuwar20,129.2,a
PH,Plant height (cm),naive,Wudil15,125.5,a
PH,Plant height (cm),naive,Bichi6,117.125,a
PH,Plant height (cm),naive,Ruwan10,113.7,a
PH,Plant height (cm),naive,Rano9,113.35,a
PH,Plant height (cm),naive,Sumailia7,112.66666666666666,a
PH,Plant height (cm),naive,Kwanar14,111.25,a
PH,Plant height (cm),naive,Danhassan2,101.5,a
SD,Stem diameter,adjusted,Dawanao12,2.7333333333333334,a
SD,Stem diameter,adjusted,Yankaba19,2.6833333333333336,a
SD,Stem diameter,adjusted,Darki16,2.683333333333333,a
SD,Stem diameter,adjusted,Dawakin11,2.65,a
SD,Stem diameter,adjusted,Gani8,2.65,a
SD,Stem diameter,adjusted,Dawaki18,2.225,b
SD,Stem diameter,adjusted,Ruwan10,2.2,b
SD,Stem diameter,adjusted,Danhassan2,2.1550000000000002,b
SD,Stem diameter,adjusted,Rano9,2.15,b
SD,Stem diameter,adjusted,Round13,2.15,b
