trait,trait_label,n,var_accession,var_pot,var_residual,repeatability,pct_pot,pct_residual,singular
PH,Plant height (cm),62,468.36900868852314,0,5350.732509762377,0.08048820031811497,0,0.9195117996818849,TRUE
NL,Number of leaves,62,132.68357650133984,264.5351440561739,1550.786808132788,0.06811252563053385,0.1357979431578042,0.7960895312116619,FALSE
NB,Number of branches,68,0.18597614126534054,0.57237940982595,1.1723517589566101,0.09632539344388068,0.2964609948111448,0.6072136117449746,FALSE
LL,Leaf length (cm),61,0.03038200149257152,0,3.88469048416222,0.007760265385607584,0,0.9922397346143925,TRUE
LB,Leaf breadth (cm),61,0.06692092016512134,0,0.829959573295657,0.07461520308786589,0,0.9253847969121342,TRUE
SD,Stem diameter,63,0,0,0.010551059294024315,0,0,1,TRUE
