accession_code,accession,lga,pot_id,pot,reading,plant_id,pvfta1,LB,LL,NB,NL,PH,SD
14,Kwanar14,Kiru,14a,a,2,14a-r2,Not genotyped,6.1,9,4,87,181.5,3.9
14,Kwanar14,Kiru,14b,b,1,14b-r1,Not genotyped,5,6,1,56,41,0.37
14,Kwanar14,Kiru,14b,b,2,14b-r2,Not genotyped,NA,NA,0,NA,NA,NA
15,Wudil15,Wudil,15a,a,1,15a-r1,Not genotyped,4.5,5.5,2,40,28,0.4
15,Wudil15,Wudil,15a,a,2,15a-r2,Not genotyped,7.6,13.4,3,134,178,3.8
15,Wudil15,Wudil,15b,b,1,15b-r1,Not genotyped,5,5.3,2,30,36,0.5
15,Wudil15,Wudil,15b,b,2,15b-r2,Not genotyped,7.6,10.2,3,122,260,3.7
16,Darki16,Wudil,16a,a,1,16a-r1,Not genotyped,5.5,6.9,2,41,30,0.45
16,Darki16,Wudil,16a,a,2,16a-r2,Not genotyped,8.3,13.4,3,140,350,3.8
16,Darki16,Wudil,16b,b,1,16b-r1,Not genotyped,NA,NA,NA,NA,NA,NA
16,Darki16,Wudil,16b,b,2,16b-r2,Not genotyped,6.1,11.4,4,165,262,3.8
17,Lahadin17,Dawakin Kudu,17a,a,1,17a-r1,Not genotyped,5,5.5,3,72,33,0.57
17,Lahadin17,Dawakin Kudu,17a,a,2,17a-r2,Not genotyped,8,11.3,3,117,280,3.7
17,Lahadin17,Dawakin Kudu,17b,b,1,17b-r1,Not genotyped,5.8,9,3,64,36,0.47
17,Lahadin17,Dawakin Kudu,17b,b,2,17b-r2,Not genotyped,7.4,12.1,0,121,280,3.6
18,Dawaki18,Dawakin Kudu,18a,a,1,18a-r1,Not genotyped,6.9,11,1,79,94,0.8
18,Dawaki18,Dawakin Kudu,18a,a,2,18a-r2,Not genotyped,7.4,10.5,0,157,376,3.65
18,Dawaki18,Dawakin Kudu,18b,b,1,18b-r1,Not genotyped,7.5,10.5,1,68,213,0.65
18,Dawaki18,Dawakin Kudu,18b,b,2,18b-r2,Not genotyped,5.6,10.4,2,16,321,3.8
19,Yankaba19,Nasarawa,19a,a,1,19a-r1,Amplified,5.3,11,2,109,104,0.65
19,Yankaba19,Nasarawa,19a,a,2,19a-r2,Amplified,5.8,NA,2,210,337,3.7
19,Yankaba19,Nasarawa,19b,b,1,19b-r1,Amplified,NA,NA,NA,NA,NA,NA
19,Yankaba19,Nasarawa,19b,b,2,19b-r2,Amplified,7.4,9.5,4,117,350,3.7
20,Sabuwar20,Nasarawa,20a,a,1,20a-r1,Not genotyped,6.1,7.4,3,58,36,0.58
20,Sabuwar20,Nasarawa,20a,a,2,20a-r2,Not genotyped,6.8,12,1,230,360,3.8
20,Sabuwar20,Nasarawa,20b,b,1,20b-r1,Not genotyped,6.5,6.1,1,25,29,0.53
20,Sabuwar20,Nasarawa,20b,b,2,20b-r2,Not genotyped,7.7,13.7,2,59,91.8,3.5
