accession_code,accession,lga,pot_id,pot,reading,plant_id,week,trait,trait_label,value,pvfta1
1,Kura1,Kura,1a,a,2,1a-r2,6,PH,Plant height (cm),234,Not genotyped
1,Kura1,Kura,1a,a,2,1a-r2,6,SD,Stem diameter,3.6,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,2,LB,Leaf breadth (cm),4.4,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,2,LL,Leaf length (cm),7.9,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,2,NB,Number of branches,NA,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,2,NL,Number of leaves,23,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,2,PH,Plant height (cm),20.3,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,2,SD,Stem diameter,NA,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,3,LB,Leaf breadth (cm),4.9,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,3,LL,Leaf length (cm),8,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,3,NB,Number of branches,NA,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,3,NL,Number of leaves,28,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,3,PH,Plant height (cm),24,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,3,SD,Stem diameter,NA,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,4,LB,Leaf breadth (cm),5.1,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,4,LL,Leaf length (cm),8.2,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,4,NB,Number of branches,NA,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,4,NL,Number of leaves,29,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,4,PH,Plant height (cm),38.6,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,4,SD,Stem diameter,0.45,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,5,LB,Leaf breadth (cm),5.1,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,5,LL,Leaf length (cm),8.2,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,5,NB,Number of branches,NA,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,5,NL,Number of leaves,42,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,5,PH,Plant height (cm),26,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,5,SD,Stem diameter,0.5,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,6,LB,Leaf breadth (cm),5,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,6,LL,Leaf length (cm),8,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,6,NB,Number of branches,NA,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,6,NL,Number of leaves,50,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,6,PH,Plant height (cm),27,Not genotyped
1,Kura1,Kura,1b,b,1,1b-r1,6,SD,Stem diameter,0.5,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,2,LB,Leaf breadth (cm),4.9,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,2,LL,Leaf length (cm),7.5,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,2,NB,Number of branches,4,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,2,NL,Number of leaves,40,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,2,PH,Plant height (cm),79.5,Not genotyped
1,Kura1,Kura,1b,b,2,1b-r2,2,SD,Stem diameter,NA,Not genotyped
