accession_code,accession,lga,pot_id,pot,reading,plant_id,week,trait,trait_label,value,pvfta1
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,5,LL,Leaf length (cm),NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,5,NB,Number of branches,0,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,5,NL,Number of leaves,NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,5,PH,Plant height (cm),NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,5,SD,Stem diameter,NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,6,LB,Leaf breadth (cm),NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,6,LL,Leaf length (cm),NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,6,NB,Number of branches,0,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,6,NL,Number of leaves,NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,6,PH,Plant height (cm),NA,Amplified
3,Kumbotso3,Kumbotso,3a,a,2,3a-r2,6,SD,Stem diameter,NA,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,2,LB,Leaf breadth (cm),4.7,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,2,LL,Leaf length (cm),7.9,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,2,NB,Number of branches,2,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,2,NL,Number of leaves,29,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,2,PH,Plant height (cm),15.4,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,2,SD,Stem diameter,NA,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,3,LB,Leaf breadth (cm),5.9,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,3,LL,Leaf length (cm),10.3,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,3,NB,Number of branches,2,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,3,NL,Number of leaves,32,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,3,PH,Plant height (cm),69.2,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,3,SD,Stem diameter,NA,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,4,LB,Leaf breadth (cm),6.3,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,4,LL,Leaf length (cm),10.5,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,4,NB,Number of branches,3,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,4,NL,Number of leaves,34,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,4,PH,Plant height (cm),69.8,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,4,SD,Stem diameter,0.5,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,5,LB,Leaf breadth (cm),5.5,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,5,LL,Leaf length (cm),8.3,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,5,NB,Number of branches,2,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,5,NL,Number of leaves,38,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,5,PH,Plant height (cm),60,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,5,SD,Stem diameter,0.6,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,6,LB,Leaf breadth (cm),5.7,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,6,LL,Leaf length (cm),8.3,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,6,NB,Number of branches,2,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,6,NL,Number of leaves,40,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,6,PH,Plant height (cm),66,Amplified
3,Kumbotso3,Kumbotso,3b,b,1,3b-r1,6,SD,Stem diameter,0.61,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,2,LB,Leaf breadth (cm),5.6,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,2,LL,Leaf length (cm),10,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,2,NB,Number of branches,0,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,2,NL,Number of leaves,13,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,2,PH,Plant height (cm),21.5,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,2,SD,Stem diameter,NA,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,3,LB,Leaf breadth (cm),5.5,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,3,LL,Leaf length (cm),9.5,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,3,NB,Number of branches,1,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,3,NL,Number of leaves,39,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,3,PH,Plant height (cm),85,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,3,SD,Stem diameter,3.6,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,4,LB,Leaf breadth (cm),5.1,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,4,LL,Leaf length (cm),11.7,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,4,NB,Number of branches,2,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,4,NL,Number of leaves,26,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,4,PH,Plant height (cm),141,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,4,SD,Stem diameter,3.55,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,5,LB,Leaf breadth (cm),5.5,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,5,LL,Leaf length (cm),11.5,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,5,NB,Number of branches,3,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,5,NL,Number of leaves,43,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,5,PH,Plant height (cm),195,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,5,SD,Stem diameter,3.6,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,6,LB,Leaf breadth (cm),5.3,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,6,LL,Leaf length (cm),11.9,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,6,NB,Number of branches,3,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,6,NL,Number of leaves,43,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,6,PH,Plant height (cm),214.5,Amplified
3,Kumbotso3,Kumbotso,3b,b,2,3b-r2,6,SD,Stem diameter,3.6,Amplified
4,Garu4,Kumbotso,4a,a,1,4a-r1,2,LB,Leaf breadth (cm),6.8,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,2,LL,Leaf length (cm),8.3,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,2,NB,Number of branches,2,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,2,NL,Number of leaves,26,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,2,PH,Plant height (cm),30,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,2,SD,Stem diameter,NA,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,3,LB,Leaf breadth (cm),8.1,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,3,LL,Leaf length (cm),9.8,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,3,NB,Number of branches,2,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,3,NL,Number of leaves,42,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,3,PH,Plant height (cm),63,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,3,SD,Stem diameter,NA,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,4,LB,Leaf breadth (cm),8.5,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,4,LL,Leaf length (cm),10.4,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,4,NB,Number of branches,2,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,4,NL,Number of leaves,60,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,4,PH,Plant height (cm),112.1,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,4,SD,Stem diameter,0.6,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,5,LB,Leaf breadth (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,5,LL,Leaf length (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,5,NB,Number of branches,2,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,5,NL,Number of leaves,69,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,5,PH,Plant height (cm),203,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,5,SD,Stem diameter,0.5,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,6,LB,Leaf breadth (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,6,LL,Leaf length (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,6,NB,Number of branches,2,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,6,NL,Number of leaves,78,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,6,PH,Plant height (cm),205,Not genotyped
4,Garu4,Kumbotso,4a,a,1,4a-r1,6,SD,Stem diameter,0.5,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,2,LB,Leaf breadth (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,2,LL,Leaf length (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,2,NB,Number of branches,0,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,2,NL,Number of leaves,NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,2,PH,Plant height (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,2,SD,Stem diameter,NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,3,LB,Leaf breadth (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,3,LL,Leaf length (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,3,NB,Number of branches,0,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,3,NL,Number of leaves,NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,3,PH,Plant height (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,3,SD,Stem diameter,NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,4,LB,Leaf breadth (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,4,LL,Leaf length (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,4,NB,Number of branches,0,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,4,NL,Number of leaves,NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,4,PH,Plant height (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,4,SD,Stem diameter,NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,5,LB,Leaf breadth (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,5,LL,Leaf length (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,5,NB,Number of branches,0,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,5,NL,Number of leaves,NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,5,PH,Plant height (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,5,SD,Stem diameter,NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,6,LB,Leaf breadth (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,6,LL,Leaf length (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,6,NB,Number of branches,0,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,6,NL,Number of leaves,NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,6,PH,Plant height (cm),NA,Not genotyped
4,Garu4,Kumbotso,4a,a,2,4a-r2,6,SD,Stem diameter,NA,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,2,LB,Leaf breadth (cm),3.1,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,2,LL,Leaf length (cm),6.5,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,2,NB,Number of branches,2,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,2,NL,Number of leaves,18,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,2,PH,Plant height (cm),22.3,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,2,SD,Stem diameter,NA,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,3,LB,Leaf breadth (cm),3.4,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,3,LL,Leaf length (cm),6.9,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,3,NB,Number of branches,2,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,3,NL,Number of leaves,20,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,3,PH,Plant height (cm),23,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,3,SD,Stem diameter,NA,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,4,LB,Leaf breadth (cm),4,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,4,LL,Leaf length (cm),7,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,4,NB,Number of branches,3,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,4,NL,Number of leaves,35,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,4,PH,Plant height (cm),24.1,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,4,SD,Stem diameter,0.5,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,5,LB,Leaf breadth (cm),5,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,5,LL,Leaf length (cm),8,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,5,NB,Number of branches,3,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,5,NL,Number of leaves,40,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,5,PH,Plant height (cm),44,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,5,SD,Stem diameter,0.6,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,6,LB,Leaf breadth (cm),5.4,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,6,LL,Leaf length (cm),8,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,6,NB,Number of branches,3,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,6,NL,Number of leaves,49,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,6,PH,Plant height (cm),43,Not genotyped
4,Garu4,Kumbotso,4b,b,1,4b-r1,6,SD,Stem diameter,0.6,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,2,LB,Leaf breadth (cm),4.6,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,2,LL,Leaf length (cm),8,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,2,NB,Number of branches,0,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,2,NL,Number of leaves,14,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,2,PH,Plant height (cm),17.5,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,2,SD,Stem diameter,NA,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,3,LB,Leaf breadth (cm),6.6,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,3,LL,Leaf length (cm),9.6,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,3,NB,Number of branches,2,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,3,NL,Number of leaves,34,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,3,PH,Plant height (cm),33,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,3,SD,Stem diameter,3.7,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,4,LB,Leaf breadth (cm),8.4,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,4,LL,Leaf length (cm),10.2,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,4,NB,Number of branches,2,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,4,NL,Number of leaves,56,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,4,PH,Plant height (cm),65.3,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,4,SD,Stem diameter,3.65,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,5,LB,Leaf breadth (cm),7,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,5,LL,Leaf length (cm),9,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,5,NB,Number of branches,4,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,5,NL,Number of leaves,99,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,5,PH,Plant height (cm),135,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,5,SD,Stem diameter,3.8,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,6,LB,Leaf breadth (cm),7.1,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,6,LL,Leaf length (cm),8.2,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,6,NB,Number of branches,4,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,6,NL,Number of leaves,109,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,6,PH,Plant height (cm),153.9,Not genotyped
4,Garu4,Kumbotso,4b,b,2,4b-r2,6,SD,Stem diameter,3.8,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,2,LB,Leaf breadth (cm),4.7,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,2,LL,Leaf length (cm),9.4,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,2,NB,Number of branches,NA,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,2,NL,Number of leaves,26,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,2,PH,Plant height (cm),26.1,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,2,SD,Stem diameter,NA,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,3,LB,Leaf breadth (cm),7.2,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,3,LL,Leaf length (cm),10.2,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,3,NB,Number of branches,2,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,3,NL,Number of leaves,32,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,3,PH,Plant height (cm),40.1,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,3,SD,Stem diameter,NA,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,4,LB,Leaf breadth (cm),8,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,4,LL,Leaf length (cm),10.5,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,4,NB,Number of branches,2,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,4,NL,Number of leaves,50,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,4,PH,Plant height (cm),178,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,4,SD,Stem diameter,0.51,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,5,LB,Leaf breadth (cm),6,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,5,LL,Leaf length (cm),10.5,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,5,NB,Number of branches,1,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,5,NL,Number of leaves,47,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,5,PH,Plant height (cm),197,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,5,SD,Stem diameter,0.51,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,6,LB,Leaf breadth (cm),6,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,6,LL,Leaf length (cm),10.7,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,6,NB,Number of branches,1,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,6,NL,Number of leaves,51,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,6,PH,Plant height (cm),199,Not genotyped
5,Danzabura5,Bichi,5a,a,1,5a-r1,6,SD,Stem diameter,0.55,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,2,LB,Leaf breadth (cm),5.3,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,2,LL,Leaf length (cm),9.2,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,2,NB,Number of branches,2,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,2,NL,Number of leaves,40,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,2,PH,Plant height (cm),120,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,2,SD,Stem diameter,NA,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,3,LB,Leaf breadth (cm),5.7,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,3,LL,Leaf length (cm),9.8,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,3,NB,Number of branches,3,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,3,NL,Number of leaves,62,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,3,PH,Plant height (cm),220,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,3,SD,Stem diameter,3.8,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,4,LB,Leaf breadth (cm),5.2,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,4,LL,Leaf length (cm),10.7,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,4,NB,Number of branches,3,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,4,NL,Number of leaves,72,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,4,PH,Plant height (cm),235,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,4,SD,Stem diameter,3.7,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,5,LB,Leaf breadth (cm),5.6,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,5,LL,Leaf length (cm),8,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,5,NB,Number of branches,2,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,5,NL,Number of leaves,96,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,5,PH,Plant height (cm),209,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,5,SD,Stem diameter,3.8,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,6,LB,Leaf breadth (cm),6,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,6,LL,Leaf length (cm),7.2,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,6,NB,Number of branches,2,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,6,NL,Number of leaves,106,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,6,PH,Plant height (cm),188,Not genotyped
5,Danzabura5,Bichi,5a,a,2,5a-r2,6,SD,Stem diameter,3.8,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,2,LB,Leaf breadth (cm),4.1,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,2,LL,Leaf length (cm),6.3,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,2,NB,Number of branches,2,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,2,NL,Number of leaves,20,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,2,PH,Plant height (cm),20.8,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,2,SD,Stem diameter,NA,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,3,LB,Leaf breadth (cm),4.3,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,3,LL,Leaf length (cm),7.3,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,3,NB,Number of branches,2,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,3,NL,Number of leaves,21,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,3,PH,Plant height (cm),23.1,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,3,SD,Stem diameter,NA,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,4,LB,Leaf breadth (cm),NA,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,4,LL,Leaf length (cm),7.8,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,4,NB,Number of branches,2,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,4,NL,Number of leaves,22,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,4,PH,Plant height (cm),39.9,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,4,SD,Stem diameter,0.5,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,5,LB,Leaf breadth (cm),NA,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,5,LL,Leaf length (cm),NA,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,5,NB,Number of branches,NA,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,5,NL,Number of leaves,NA,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,5,PH,Plant height (cm),NA,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,5,SD,Stem diameter,0.5,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,6,LB,Leaf breadth (cm),NA,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,6,LL,Leaf length (cm),NA,Not genotyped
5,Danzabura5,Bichi,5b,b,1,5b-r1,6,NB,Number of branches,NA,Not genotyped
